我	I
瘩	sore
疙	pimple
颂	praise
鸽	pigeon
阂	obstruct
抒	express
蒂	stem
踪	footprint
耕	plow
殿	palace hall
宫	palace
攻	attack
巩	secure
鸣	make a sound
勾	attract
钩	hook
孤	lone
辜	crime
佣	commission
雇	employ
杖	staff
辖	govern
罐	jar
贯	pierce through
溉	irrigate
灌	irrigate
辉	splendor
芒	awn
阔	wide
轨	rail
跪	kneel
棍	stick
渡	cross
滤	filter
瘾	addiction
嗨	hey
滨	shore
暄	warm
罕	rare
捍	defend
迈	stride
耗	waste
呵	my goodness
蔼	friendly
睦	amicable
谐	harmonious
嘿	hey
痕	traces
狠	ruthless
哼	groan
横	horizontal
哄	coax
烘	bake
轰	explosion
宏	magnificent
洪	flood
咙	throat
喉	throat
吼	to roar
忧	worry
唤	call
啸	to whistle
吁	implore
泊	anchor
湖	lake
瓣	petal
蕾	bud
侨	emigrant
添	add
妆	makeup
筒	tube
患	suffer
荒	desolate
谬	absurd
唐	Tang dynasty
昏	twilight
帝	emperor
皇	emperor
晃	dazzle
恍	hazy
悟	comprehend
霍	suddenly
煌	brilliant
毁	destroy
灭	extinguish
晤	meet
赂	bribe
贿	bribery
荤	non-vegetarian
浑	muddy
混	mix
淆	confused
浊	turbid
箭	arrow
焰	flame
械	tool
饥	hungry
讥	ridicule
嫉	jealousy
妒	envy
躁	impatient
吉	lucky
讳	avoid
忌	jealous
晓	dawn
佳	beautiful
肴	meat dishes
煎	pan fry
韧	tough
监	supervise
狱	prison
尖	pointed
锐	acute
拣	choose
陋	plain
溅	splash
鉴	reflect
谍	spy
踏	tread
舰	warship
艇	vessel
剑	sword
僵	rigid
桨	oar
焦	burnt
娇	lovable
拌	mix
搅	disturb
缴	hand in
侥	luck
皆	all
揭	expose
奏	play music
杰	hero
晶	crystal
竭	exhaust
截	cut off
剖	cut open
津	Tianjin
融	melt
锦	brocade
泡	bubble
浸	immerse
晋	promote
茎	stalk
纬	latitude
讶	astounded
兢	fearful
井	well
惕	fearful
颈	neck
椎	hammer
纠	correct
躬	body
鞠	bow
拘	capture
瞩	to gaze
嚼	chew
咀	chew
丧	mourning
沮	destroy
